Stock,Signal,Setup,WeeklyTrend,MTF,Price,Score,RSI,VolSurge,Entry,SL,Target1,Target2,RR,Sector
INDUSINDBK.NS,BUY,Tight Flag 🗜️,UP,✅ MTF Eligible (Dhan),1022.0,100,47.2,0.82,1022.0,992.23,1059.22,1108.84,2.9,Nifty Auto
ULTRACEMCO.NS,BUY,Tight Flag 🗜️,UP,✅ MTF Eligible (Dhan),12105.0,100,68.4,0.56,12105.0,11866.67,12402.91,12800.13,2.9,Nifty Auto
SBICARD.NS,BUY,Tight Flag 🗜️,UP,✅ MTF Eligible (Dhan),659.0,100,57.1,0.87,659.0,641.2,681.25,710.93,2.9,Nifty Auto
PNB.NS,BUY,Tight Flag 🗜️,UP,✅ MTF Eligible (Dhan),114.81,100,67.1,0.62,114.81,112.77,117.36,120.75,2.9,Nifty Auto
CIPLA.NS,BUY,Tight Flag 🗜️,UP,✅ MTF Eligible (Dhan),1463.8,100,55.7,0.55,1463.8,1425.54,1511.63,1575.4,2.9,Nifty Auto
IDFCFIRSTB.NS,BUY,Tight Flag 🗜️,UP,✅ MTF Eligible (Dhan),84.62,100,63.6,0.39,84.62,82.24,87.59,91.56,2.9,Nifty Auto
EICHERMOT.NS,BUY,Tight Flag 🗜️,UP,✅ MTF Eligible (Dhan),8020.0,100,72.0,0.6,8020.0,7826.08,8262.4,8585.61,2.9,Nifty Auto
BAJAJ-AUTO.NS,BUY,Tight Flag 🗜️,UP,✅ MTF Eligible (Dhan),11662.0,100,71.7,0.41,11662.0,11327.33,12080.34,12638.12,2.9,Nifty Auto
DIXON.NS,BUY,Oversold Rebound ↩,UP,✅ MTF Eligible (Dhan),14200.0,100,41.6,0.39,14200.0,13714.77,14806.54,15615.25,2.9,Nifty Auto
POLYCAB.NS,BUY,Tight Flag 🗜️,UP,✅ MTF Eligible (Dhan),9218.0,100,63.0,0.55,9218.0,9004.06,9485.43,9842.0,2.9,Nifty Auto
PETRONET.NS,BUY,Tight Flag 🗜️,UP,✅ MTF Eligible (Dhan),280.6,100,55.9,0.49,280.6,273.15,289.91,302.33,2.9,Nifty Auto
MRF.NS,BUY,Tight Flag 🗜️,UP,✅ MTF Eligible (Dhan),134190.0,100,54.6,0.46,134190.0,131933.14,137011.07,140772.5,2.9,Nifty Auto
DALBHARAT.NS,BUY,Tight Flag 🗜️,UP,✅ MTF Eligible (Dhan),1827.4,100,45.8,0.41,1827.4,1770.18,1898.93,1994.3,2.9,Nifty Auto
INDIACEM.NS,BUY,Tight Flag 🗜️,UP,✅ MTF Eligible (Dhan),398.15,100,54.6,0.45,398.15,384.7,414.96,437.37,2.9,Nifty Auto
HINDPETRO.NS,BUY,Oversold Rebound ↩,UP,✅ MTF Eligible (Dhan),393.05,90,41.6,0.77,393.05,381.83,407.07,425.77,2.9,Nifty Auto
SBILIFE.NS,BUY,Tight Flag 🗜️,UP,✅ MTF Eligible (Dhan),1855.5,90,56.8,0.45,1855.5,1810.75,1911.44,1986.03,2.9,Nifty Auto
ADANIENT.NS,BUY,Oversold Rebound ↩,UP,✅ MTF Eligible (Dhan),3020.0,90,30.9,0.71,3020.0,2945.54,3113.07,3237.17,2.9,Nifty Auto
ZYDUSLIFE.NS,BUY,Oversold Rebound ↩,UP,✅ MTF Eligible (Dhan),1114.2,90,37.5,0.65,1114.2,1087.15,1148.01,1193.09,2.9,Nifty Auto
CDSL.NS,BUY,Oversold Rebound ↩,UP,✅ MTF Eligible (Dhan),1328.0,90,32.5,0.4,1328.0,1295.99,1368.02,1421.38,2.9,Nifty Auto
BHEL.NS,BUY,Oversold Rebound ↩,UP,✅ MTF Eligible (Dhan),405.2,90,38.4,0.72,405.2,393.23,420.16,440.11,2.9,Nifty Auto
LUPIN.NS,BUY,Oversold Rebound ↩,UP,✅ MTF Eligible (Dhan),2363.5,90,35.7,2.01,2363.5,2295.63,2448.34,2561.45,2.9,Nifty Auto
IPCALAB.NS,BUY,Oversold Rebound ↩,UP,✅ MTF Eligible (Dhan),1735.8,90,34.1,0.34,1735.8,1670.88,1816.95,1925.15,2.9,Nifty Auto
MAXHEALTH.NS,BUY,Oversold Rebound ↩,UP,✅ MTF Eligible (Dhan),1070.0,90,39.7,0.77,1070.0,1041.09,1106.14,1154.33,2.9,Nifty Auto
PAGEIND.NS,BUY,Tight Flag 🗜️,UP,✅ MTF Eligible (Dhan),39900.0,90,45.7,0.48,39900.0,38979.43,41050.71,42585.0,2.9,Nifty Auto
