Sector,Today%,1M%,3M%,RSI,52W%,VolPunch,Score
Realty,-1.53,11.42,15.61,66.3,-3.6,0.0,28.92
Pharma,-1.53,2.82,17.18,56.8,-1.5,0.0,26.14
Media,-0.91,-0.51,8.75,56.8,-1.9,1.0,21.89
MNC,0.62,0.05,8.0,53.1,-1.4,0.0,21.63
Cons Dur,0.68,1.4,0.79,63.3,-1.9,1.0,21.55
Auto,0.97,2.93,0.93,63.2,-4.6,0.0,19.49
Energy,0.64,-2.51,17.14,46.3,-4.8,0.0,18.59
Infra,0.05,-1.37,3.33,49.3,-3.6,0.0,16.71
PSE,0.96,-1.42,2.76,54.1,-6.8,0.0,14.28
Metal,1.12,-3.42,8.66,51.9,-8.3,0.0,13.32
FMCG,0.79,-0.86,-5.47,53.4,-6.2,0.0,12.5
PSU Bank,-0.17,-4.0,-6.87,45.2,-15.3,0.0,0.07
IT,-1.49,5.7,-25.46,65.4,-26.3,0.0,-8.59
